Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-07-01 00:00:00+01:00,1.369187831878662,1.3698067665100098,1.3368805646896362,1.3396027088165283,0,0.0,0.0
2014-08-01 00:00:00+01:00,1.3389928340911865,1.3445992469787598,1.3128355741500854,1.313456416130066,0,0.0,0.0
2014-09-01 00:00:00+01:00,1.312766671180725,1.3160994052886963,1.2573903799057007,1.269083857536316,0,0.0,0.0
2014-10-01 00:00:00+01:00,1.2629133462905884,1.284438967704773,1.249125599861145,1.2613362073898315,0,0.0,0.0
2014-11-01 00:00:00+00:00,1.2527247667312622,1.2575926780700684,1.2362009286880493,1.2437965869903564,0,0.0,0.0
2014-12-01 00:00:00+00:00,1.2437965869903564,1.2565702199935913,1.21053946018219,1.2162047624588013,0,0.0,0.0
2015-01-01 00:00:00+00:00,1.2098628282546997,1.2098628282546997,1.11055588722229,1.1287955045700073,0,0.0,0.0
2015-02-01 00:00:00+00:00,1.1287955045700073,1.1484194993972778,1.117680549621582,1.119795799255371,0,0.0,0.0
2015-03-01 00:00:00+00:00,1.119795799255371,1.1240400075912476,1.0460032224655151,1.0830246210098267,0,0.0,0.0
2015-04-01 00:00:00+01:00,1.0741022825241089,1.1247594356536865,1.0521597862243652,1.1114321947097778,0,0.0,0.0
2015-05-01 00:00:00+01:00,1.1215037107467651,1.145304799079895,1.0821995735168457,1.0960345268249512,0,0.0,0.0
2015-06-01 00:00:00+01:00,1.095902442932129,1.1428401470184326,1.0888904333114624,1.122296690940857,0,0.0,0.0
2015-07-01 00:00:00+01:00,1.1134989261627197,1.1219995021820068,1.081270456314087,1.0939244031906128,0,0.0,0.0
2015-08-01 00:00:00+01:00,1.0969001054763794,1.1705996990203857,1.0850305557250977,1.1214030981063843,0,0.0,0.0
2015-09-01 00:00:00+01:00,1.1225990056991577,1.1460003852844238,1.1089695692062378,1.1255937814712524,0,0.0,0.0
2015-10-01 00:00:00+01:00,1.1171561479568481,1.1494200229644775,1.0910003185272217,1.100897192955017,0,0.0,0.0
2015-11-01 00:00:00+00:00,1.1024993658065796,1.1060001850128174,1.056400179862976,1.0583018064498901,0,0.0,0.0
2015-12-01 00:00:00+00:00,1.0572947263717651,1.107000470161438,1.0541995763778687,1.093398094177246,0,0.0,0.0
2016-01-01 00:00:00+00:00,1.0859060287475586,1.0981999635696411,1.0712006092071533,1.0825908184051514,0,0.0,0.0
2016-02-01 00:00:00+00:00,1.0826259851455688,1.1368002891540527,1.0826259851455688,1.0923947095870972,0,0.0,0.0
2016-03-01 00:00:00+00:00,1.0886961221694946,1.1410002708435059,1.0826002359390259,1.1334655284881592,0,0.0,0.0
2016-04-01 00:00:00+01:00,1.1379023790359497,1.1463998556137085,1.1219944953918457,1.1448328495025635,0,0.0,0.0
2016-05-01 00:00:00+01:00,1.1448328495025635,1.1613997220993042,1.1100010871887207,1.1148396730422974,0,0.0,0.0
2016-06-01 00:00:00+01:00,1.113598108291626,1.1422044038772583,1.0919057130813599,1.1128050088882446,0,0.0,0.0
2016-07-01 00:00:00+01:00,1.1103708744049072,1.1196001768112183,1.0953621864318848,1.1168068647384644,0,0.0,0.0
2016-08-01 00:00:00+01:00,1.1167818307876587,1.1357183456420898,1.1049113273620605,1.1153244972229004,0,0.0,0.0
2016-09-01 00:00:00+01:00,1.1158223152160645,1.1329994201660156,1.112599492073059,1.121956706047058,0,0.0,0.0
2016-10-01 00:00:00+01:00,1.1243407726287842,1.1249998807907104,1.0853402614593506,1.0984665155410767,0,0.0,0.0
2016-11-01 00:00:00+00:00,1.0973334312438965,1.1301988363265991,1.0522550344467163,1.0648492574691772,0,0.0,0.0
2016-12-01 00:00:00+00:00,1.0592098236083984,1.0856584310531616,1.0355182886123657,1.0520004034042358,0,0.0,0.0
2017-01-01 00:00:00+00:00,1.0520004034042358,1.0810343027114868,1.0347682237625122,1.0708587169647217,0,0.0,0.0
2017-02-01 00:00:00+00:00,1.080263614654541,1.0826611518859863,1.0496814250946045,1.0584250688552856,0,0.0,0.0
2017-03-01 00:00:00+00:00,1.0569260120391846,1.0904886722564697,1.050045132637024,1.0687072277069092,0,0.0,0.0
2017-04-01 00:00:00+01:00,1.065654993057251,1.0950744152069092,1.0570378303527832,1.0907504558563232,0,0.0,0.0
2017-05-01 00:00:00+01:00,1.0906076431274414,1.1266716718673706,1.0839990377426147,1.117168664932251,0,0.0,0.0
2017-06-01 00:00:00+01:00,1.123822808265686,1.1445000171661377,1.1120872497558594,1.144164800643921,0,0.0,0.0
2017-07-01 00:00:00+01:00,1.142569899559021,1.1824663877487183,1.1315033435821533,1.1747292280197144,0,0.0,0.0
2017-08-01 00:00:00+01:00,1.1823545694351196,1.2066947221755981,1.1666978597640991,1.1893434524536133,0,0.0,0.0
2017-09-01 00:00:00+01:00,1.191085934638977,1.2093360424041748,1.1719207763671875,1.1741636991500854,0,0.0,0.0
2017-10-01 00:00:00+01:00,1.1741636991500854,1.1880717277526855,1.157594919204712,1.1652703285217285,0,0.0,0.0
2017-11-01 00:00:00+00:00,1.1651616096496582,1.1960434913635254,1.1555883884429932,1.18519926071167,0,0.0,0.0
2017-12-01 00:00:00+00:00,1.18990957736969,1.202284336090088,1.1718933582305908,1.2000048160552979,0,0.0,0.0
2018-01-01 00:00:00+00:00,1.200494647026062,1.2529915571212769,1.1917957067489624,1.2409565448760986,0,0.0,0.0
2018-02-01 00:00:00+00:00,1.2417423725128174,1.2558081150054932,1.2189176082611084,1.2230321168899536,0,0.0,0.0
2018-03-01 00:00:00+00:00,1.2190959453582764,1.2478163242340088,1.2157995700836182,1.2331976890563965,0,0.0,0.0
2018-04-01 00:00:00+01:00,1.2331976890563965,1.2415003776550293,1.2056035995483398,1.2122827768325806,0,0.0,0.0
