symbol,name,price,exchange,exchangeShortName,type
"SC06.F","Invesco STOXX Europe 600 Optimised Media UCITS ETF","144.4","Frankfurt Stock Exchange","XETRA","etf",
"FMAG","Fidelity Magellan ETF","28.7601","BATS","ETF","etf",
"VFLO","VictoryShares Free Cash Flow ETF","30.95","NASDAQ Global Market","NASDAQ","etf",
"CU1.L","iShares VII PLC - iShares MSCI USA UCITS ETF USD (Acc)","42473","London Stock Exchange","LSE","etf",
"VGT","Vanguard Information Technology Index Fund","549.85","New York Stock Exchange Arca","AMEX","etf",
"SJET.AS","Leverage Shares -3x Short Airlines ETP Securities","1.4668","Amsterdam","EURONEXT","etf",
"PFXF","VanEck Preferred Securities ex Financials ETF","17.54","New York Stock Exchange Arca","AMEX","etf",
"HDLV.DE","Invesco S&P 500 High Dividend Low Volatility UCITS ETF","31.415","Frankfurt Stock Exchange","XETRA","etf",
"PABU","iShares Paris-Aligned Climate MSCI USA ETF","58.09","NASDAQ Global Market","NASDAQ","etf",
"273140.KS","KODEX Active FRN","110850","KSE","KSC","etf",
"MONY.AX","UBS IQ Cash ETF","19.99","Australian Securities Exchange","ASX","etf",
"WCOD.L","SPDR MSCI World Consumer Discretionary UCITS ETF","68.7","London Stock Exchange","LSE","etf",
"SXUS","Janus Henderson International Sustainable Equity ETF","18.6606","New York Stock Exchange Arca","AMEX","etf",
"195980.KS","Hanwha Arirang Synth MSCI Emerging Markets ETF","9615","KSE","KSC","etf",
"VGWD.DE","Vanguard FTSE All-World High Dividend Yield UCITS ETF","61.46","Frankfurt Stock Exchange","XETRA","etf",
"ECOW","Pacer Emerging Markets Cash Cows 100 ETF","20.9787","NASDAQ Global Market","NASDAQ","etf",
"QCD.TO","AGFiQ Canadian Equity ETF","34.2","Toronto Stock Exchange","TSX","etf",
"HHLE.TO","Harvest Healthcare Leaders Enhanced Income ETF","10.61","Toronto Stock Exchange","TSX","etf",
"IGV","iShares Expanded Tech-Software Sector ETF","80.38","BATS","ETF","etf",
"CEU1.L","iShares VII PLC -iShares Core MSCI EMU UCITS ETF EUR (Acc)","15084","London Stock Exchange","LSE","etf",
"MTF.PA","MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 15+Y (DR) UCITS ETF - Acc","177.38","Paris","EURONEXT","etf",
"SDEM","Global X MSCI SuperDividend Emerging Markets ETF","26.3687","New York Stock Exchange Arca","AMEX","etf",
"SCTE.L","Leverage Shares -1x Short Citigroup ETP","6.23875","London Stock Exchange","LSE","etf",
"XTOC","Innovator U.S. Equity Accelerated Plus ETF - October","28.175","BATS","ETF","etf",
"TAT.AS","VanEck iBoxx EUR Sovereign Capped AAA-AA 1-5 UCITS ETF","18.464","Amsterdam","EURONEXT","etf",
"SDVY","First Trust SMID Cap Rising Dividend Achievers ETF","33.25","NASDAQ Global Market","NASDAQ","etf",
"L0CK.DE","iShares Digital Security UCITS ETF","7.034","Frankfurt Stock Exchange","XETRA","etf",
"CAB3.DE","Amundi Index Solutions - Amundi BBB EURO Corporate Investment Grade ESG","14.1","Frankfurt Stock Exchange","XETRA","etf",
"DIP","Btd Capital Fund","29.83","New York Stock Exchange","NYSE","etf",
"XAAG.DE","Invesco Bloomberg Commodity ex-Agriculture UCITS ETF","28.08","Frankfurt Stock Exchange","XETRA","etf",
"ESEH.PA","BNP Paribas Easy S&P 500 UCITS ETF","17.5821","Paris","EURONEXT","etf",
"PSMO","Pacer Swan SOS Moderate (October) ETF","26.5768","BATS","ETF","etf",
"310960.KS","Tiger 200 Total Return","20870","KSE","KSC","etf",
"2UBR.L","Leverage Shares 2x Uber ETC","471.1","London Stock Exchange","LSE","etf",
"152870.KS","Kyobo AXA Power K200 Securities ETF Investment Trust - Equity","37160","KSE","KSC","etf",
"LCUA.DE","Lyxor MSCI EM Asia Ucits ETF","10.436","Frankfurt Stock Exchange","XETRA","etf",
"TIPL","Direxion Daily TIPS Bull 2X Shares","20.395","New York Stock Exchange Arca","AMEX","etf",
"EHBA.DE","Invesco Euro Corporate Hybrid Bond UCITS ETF","40.444","Frankfurt Stock Exchange","XETRA","etf",
"GHYU.L","Lyxor Index Fund - Lyxor Global High Yield Sustainable Exposure UCITS ETF","21.37","London Stock Exchange","LSE","etf",
"LEUR.L","WisdomTree Long EUR Short USD","31.65","London Stock Exchange","LSE","etf",
"EXXW.DE","iShares Dow Jones Asia Pacific Select Dividend 50 UCITS ETF (DE)","24.79","Frankfurt Stock Exchange","XETRA","etf",
"SCPE.L","Leverage Shares 3x Short Coupang ETP Securities","0.312","London Stock Exchange","LSE","etf",
"XCMC.L","Xtrackers Bloomberg Commodity Swap UCITS ETF","11.182","London Stock Exchange","LSE","etf",
"QLS","IQ Hedge Long/Short Tracker ETF","25.0879","New York Stock Exchange Arca","AMEX","etf",
"1PLU.L","LS 1x Plug Power Tracker ETC","0.4678","London Stock Exchange","LSE","etf",
"SROI","Calamos ETF Trust - Calamos Antetokounmpo Global Sustainable Equities ETF","28.769","New York Stock Exchange Arca","AMEX","etf",
"COW.TO","iShares Global Agriculture Index ETF","61.46","Toronto Stock Exchange","TSX","etf",
"IBDM","iShares iBonds Dec 2021 Term Corporate ETF","24.72","New York Stock Exchange Arca","AMEX","etf",
"EUMV.L","Ossiam Europe ESG Machine Learning","248.675","London Stock Exchange","LSE","etf",
"HYLD.L","iShares Global High Yield Corp Bond UCITS ETF USD (Dist)","84.76","London Stock Exchange","LSE","etf",
"208470.KS","Shinhan Bnpp Smart Synth-Msci Developed Market Etf","17860","KSE","KSC","etf",
"INDF","Nifty India Financials ETF","36.705","New York Stock Exchange Arca","AMEX","etf",
"C73.PA","Amundi ETF Govt Bond Euro Broad Investment Grade 7-10 UCITS ETF DR","238.7","Paris","EURONEXT","etf",
"DEMD.L","WisdomTree Emerging Markets Equity Income UCITS ETF","15.135","London Stock Exchange","LSE","etf",
"SDJP.L","iShares MSCI Japan ESG Screened UCITS ETF","6.063","London Stock Exchange","LSE","etf",
"XRE.TO","iShares S&P/TSX Capped REIT Index ETF","14.76","Toronto Stock Exchange","TSX","etf",
"099140.KS","KODEX China H","16165","KSE","KSC","etf",
"EXSI.F","iShares EURO STOXX UCITS ETF (DE)","46.545","Frankfurt Stock Exchange","XETRA","etf",
"MILL.L","Lyxor Index Fund - Lyxor MSCI Millennials ESG Filtered (DR) UCITS ETF","12.133","London Stock Exchange","LSE","etf",
"PWER","Macquarie Etf Trust - Energy Transition ETF","29.4519","New York Stock Exchange Arca","AMEX","etf",
"36B3.DE","iShares MSCI Europe SRI UCITS ETF","7.934","Frankfurt Stock Exchange","XETRA","etf",
"ARWS.L","LEVERAGE SHARES PUBLIC LIMITED ","0.64415","London Stock Exchange","LSE","etf",
"NTKI","Nationwide Russell 2000 Risk-Managed Income ETF","19.0104","New York Stock Exchange Arca","AMEX","etf",
"EMNU.DE","iShares MSCI Europe ESG Enhanced UCITS ETF","6.989","Frankfurt Stock Exchange","XETRA","etf",
"BTCW","Wisdom Tree Bitcoin Fund","73.6","null","OTC","etf",
"FCSG.L","FIRST TRUST GLOBAL FUNDS PLC - First Trust Global Capital Strength ESG Leaders UCITS ETF","2921.5","London Stock Exchange","LSE","etf",
"TSLL","Direxion Daily TSLA Bull 1.5X Shares","7.58","NASDAQ Global Market","NASDAQ","etf",
"HARC.TO","Horizons Absolute Return Global Currency ETF","24.08","Toronto Stock Exchange","TSX","etf",
"EMUM.L","iShares IV Public Limited Company - iShares MSCI EMU Mid Cap UCITS ETF","53.5191","London Stock Exchange","LSE","etf",
"BCFU.DE","UBS (Irl) Fund Solutions plc - Bloomberg Commodity CMCI SF UCITS ETF","16.082","Frankfurt Stock Exchange","XETRA","etf",
"INRG.L","iShares Global Clean Energy UCITS ETF USD (Dist)","651.75","London Stock Exchange","LSE","etf",
"ZCM.TO","BMO Mid Corporate Bond Index ETF","14.98","Toronto Stock Exchange","TSX","etf",
"IBGX.L","iShares € Govt Bond 3-5yr UCITS ETF","133.22","London Stock Exchange","LSE","etf",
"DTJ","DTE Energy Company JR SUB DEB 76","25.0909","New York Stock Exchange","NYSE","etf",
"TGRE.TO","TD Active Global Real Estate Equity ETF","13.66","Toronto Stock Exchange","TSX","etf",
"XDWD.L","Xtrackers MSCI World UCITS ETF","109.44","London Stock Exchange","LSE","etf",
"ACZ.TO","Middlefield US Equity Dividend ETF","15.16","Toronto Stock Exchange","TSX","etf",
"AVUS","Avantis U.S. Equity ETF","89.08","New York Stock Exchange Arca","AMEX","etf",
"SUOA.AS","iShares $ Corp Bond ESG UCITS ETF USD Acc","4.7578","Amsterdam","EURONEXT","etf",
"CURE.AX","Global X S&P Biotech ETF","47.18","Australian Securities Exchange","ASX","etf",
"PBUY.L","HANetf ICAV Global Online Retail UCITS ETF","141.91","London Stock Exchange","LSE","etf",
"3SPP.MI","GraniteShares 3x Short PayPal Daily ETP","6.025","Milan","MIL","etf",
"2B7A.DE","iShares V PLC - iShares S&P 500 Utilities Sector UCITS ETF","7.644","Frankfurt Stock Exchange","XETRA","etf",
"HERO.TO","Evolve E-Gaming Index ETF","31.31","Toronto Stock Exchange","TSX","etf",
"RIT.TO","CI Canadian REIT ETF","15.25","Toronto Stock Exchange","TSX","etf",
"WTDH.DE","WisdomTree Europe Equity UCITS ETF","24.855","Frankfurt Stock Exchange","XETRA","etf",
"PTIN","Pacer Trendpilot International ETF","29.19","New York Stock Exchange Arca","AMEX","etf",
"ZFM.TO","BMO Mid Federal Bond Index ETF","14.31","Toronto Stock Exchange","TSX","etf",
"BTCY-U.TO","Purpose Bitcoin Yield ETF","6.9","Toronto Stock Exchange","TSX","etf",
"IEMA.AS","iShares MSCI EM UCITS ETF USD (Acc)","35.495","Amsterdam","EURONEXT","etf",
"BDD","DB Base Metals Double Long ETN","7.7","New York Stock Exchange Arca","AMEX","etf",
"BYBU.PA","Amundi Index Solutions - Amundi S&P 500 Buyback","284","Paris","EURONEXT","etf",
"PQVM.L","Invesco S&P 500 QVM UCITS ETF","55.87","London Stock Exchange","LSE","etf",
"AVDV","Avantis International Small Cap Value ETF","66.63","New York Stock Exchange Arca","AMEX","etf",
"CUT","Invesco MSCI Global Timber ETF","33.43","New York Stock Exchange Arca","AMEX","etf",
"WLDC.MI","Lyxor MSCI World UCITS ETF Acc","13.87","Milan","MIL","etf",
"GOOP","Kurv Yield Premium Strategy Google (GOOGL) ETF","31.07","Cboe US","ETF","etf",
"VEMY","Virtus Stone Harbor Emerging Markets High Yield Bond ETF","26.5135","American Stock Exchange","AMEX","etf",
"EMND.DE","iShares MSCI World ESG Enhanced UCITS ETF","7.713","Frankfurt Stock Exchange","XETRA","etf",
"COPP","Sprott Copper Miners ETF","24.9607","Nasdaq","NASDAQ","etf",
"CBU7.L","iShares VII Public Limited Company - iShares $ Treasury Bond 3-7yr UCITS ETF","129.93","London Stock Exchange","LSE","etf",
"VRIG","Invesco Variable Rate Investment Grade ETF","25.17","NASDAQ Global Market","NASDAQ","etf",
"LOCT","Innovator Premium Income 15 Buffer ETF - October","23.95","Cboe US","ETF","etf",
"FPEI","First Trust Institutional Preferred Securities and Income ETF","18.33","New York Stock Exchange Arca","AMEX","etf",
"CS1.PA","Amundi ETF MSCI Spain UCITS ETF","269.85","Paris","EURONEXT","etf",
"UEQC.DE","UBS (Irl) Fund Solutions plc - CMCI Commodity Carry SF UCITS ETF","139.9","Frankfurt Stock Exchange","XETRA","etf",
"USDV.L","SPDR S&P US Dividend Aristocrats UCITS ETF","55.84","London Stock Exchange","LSE","etf",
"IUSQ.DE","iShares V PLC - iShares MSCI ACWI UCITS ETF USD (Acc)","77.11","Frankfurt Stock Exchange","XETRA","etf",
"HECO","Strategy Shares EcoLogical Strategy ETF","36.6101","New York Stock Exchange Arca","AMEX","etf",
"E950.DE","Lyxor 1 EURO STOXX 50 (DR) UCITS ETF","35.39","Frankfurt Stock Exchange","XETRA","etf",
"VFEM.DE","Vanguard FTSE Emerging Markets UCITS ETF","55.1","Frankfurt Stock Exchange","XETRA","etf",
"COW","iPath Series B Bloomberg Livestock Subindex Total Return ETN","39.8705","New York Stock Exchange Arca","AMEX","etf",
"USV","UBS ETRACS CMCI Silver Total Return ETN","31.75","New York Stock Exchange Arca","AMEX","etf",
"EXSE.DE","iShares STOXX Europe Small 200 UCITS ETF (DE)","33.605","Frankfurt Stock Exchange","XETRA","etf",
"ETSX.TO","Evolve S&P/TSX 60 Enhanced Yield Fund","19.53","Toronto Stock Exchange","TSX","etf",
"CLSE","Convergence Long/Short Equity ETF","21.06","BATS","ETF","etf",
"DXJP.SW","WisdomTree Japan Equity UCITS ETF","17.708","Swiss Exchange","SIX","etf",
"DRIP","Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares","9.81","New York Stock Exchange Arca","AMEX","etf",
"SUAP.L","iShares MSCI USA SRI UCITS ETF","5.7204","London Stock Exchange","LSE","etf",
"IRET","iREIT - MarketVector Quality REIT Index ETF","19.61","New York Stock Exchange Arca","AMEX","etf",
"BOT.NZ","Smartshares Automation and Robotics ETF","4.902","NZSE","NZE","etf",
"RM8U.DE","The Royal Mint Physical Gold ETC Securities","15.544","Frankfurt Stock Exchange","XETRA","etf",
"HUF.TO","Horizons Active Ultra-Short Term US Investment Grade Bond ETF","13.65","Toronto Stock Exchange","TSX","etf",
"CRUZ","Defiance Hotel, Airline, and Cruise ETF","21.7","New York Stock Exchange Arca","AMEX","etf",
"RFEM","First Trust RiverFront Dynamic Emerging Markets ETF","64.87","NASDAQ Global Market","NASDAQ","etf",
"XAD6.MI","Xtrackers Physical Silver ETC (EUR)","260.25","Milan","MIL","etf",
"VAGU.L","Vanguard Funds Public Limited Company - Vanguard Global Aggregate Bond UCITS ETF","24.685","London Stock Exchange","LSE","etf",
"SPYJ.DE","SPDR Dow Jones Global Real Estate UCITS ETF","29.38","Frankfurt Stock Exchange","XETRA","etf",
"JCPB","JPMorgan Core Plus Bond ETF","46.055","BATS","ETF","etf",
"LCUJ.DE","Lyxor Core MSCI Japan (DR) UCITS ETF","16.4125","Frankfurt Stock Exchange","XETRA","etf",
"PRN","Invesco DWA Industrials Momentum ETF","134.1","NASDAQ Global Market","NASDAQ","etf",
"8522.DE","Lyxor iBOXX Euro Sovereigns Germany Capped 5-10 UCITS ETF","145.98","Frankfurt Stock Exchange","XETRA","etf",
"RPG","Invesco S&P 500 Pure Growth ETF","35.78","New York Stock Exchange Arca","AMEX","etf",
"CRPX.L","Lyxor ESG Euro Corporate Bond UCITS ETF - Acc","12293","London Stock Exchange","LSE","etf",
"PRMU.L","UBS AG, London Branch BLBG CMCI PRECIOUS METALS USD TT RTN ETC","242.325","London Stock Exchange","LSE","etf",
"GLDU.AS","Lyxor NYSE Arca Gold BUGS (DR) UCITS ETF","25.816","Amsterdam","EURONEXT","etf",
"VMAX","Hartford US Value ETF","46.2446","Cboe US","ETF","etf",
"WRNW.MI","WisdomTree Renewable Energy UCITS ETF","18.234","Milan","MIL","etf",
"EMLB","iPath Long Enhanced MSCI Emerg Mkts ETN","80.8","New York Stock Exchange Arca","AMEX","etf",
"GDX3.L","Leverage Shares 3x Long Gold Miners ETC","2.116","London Stock Exchange","LSE","etf",
"COGO.L","WisdomTree AT1 CoCo Bond UCITS ETF","8707","London Stock Exchange","LSE","etf",
"TP05.L","iShares $ TIPS 0-5 UCITS ETF USD (Dist)","389.16","London Stock Exchange","LSE","etf",
"HBFE.TO","Harvest Brand Leaders Enhanced Income ETF","10.23","Toronto Stock Exchange","TSX","etf",
"USML.L","Invesco S&P SmallCap 600 UCITS ETF","59.92","London Stock Exchange","LSE","etf",
"GXC","SPDR S&P China ETF","71.31","New York Stock Exchange Arca","AMEX","etf",
"JER5.DE","JPMorgan ETFs (Ireland) ICAV - EUR Corporate Bond 1-5 yr Research Enhanced Index (ESG) UCITS ETF","101.25","Frankfurt Stock Exchange","XETRA","etf",
"IBDU","iShares iBonds Dec 2029 Term Corporate ETF","22.57","New York Stock Exchange Arca","AMEX","etf",
"DFEB","FT Cboe Vest U.S. Equity Deep Buffer ETF - February","39.82","BATS","ETF","etf",
"IRVH","Global X Interest Rate Volatility & Inflation Hedge ETF","20.43","New York Stock Exchange Arca","AMEX","etf",
"BUYN","USCF SummerHaven SHPEN Index Fund","9.69","New York Stock Exchange Arca","AMEX","etf",
"KCE","SPDR S&P Capital Markets ETF","108.85","New York Stock Exchange Arca","AMEX","etf",
"3SUE.DE","iShares MSCI World Consumer Staples Sector UCITS ETF","5.423","Frankfurt Stock Exchange","XETRA","etf",
"DGL","Invesco DB Gold Fund","51.9553","New York Stock Exchange Arca","AMEX","etf",
"RSPG","Invesco S&P 500® Equal Weight Energy ETF","79.2","New York Stock Exchange Arca","AMEX","etf",
"X03H.SW","Xtrackers II Global Government Bond UCITS ETF 4C - CHF Hedged","150.425","Swiss Exchange","SIX","etf",
"C060.DE","Lyxor STOXX Europe 600 UCITS ETF","94.05","Frankfurt Stock Exchange","XETRA","etf",
"BITI","ProShares Trust - ProShares Short Bitcoin Strategy ETF","7.34","New York Stock Exchange Arca","AMEX","etf",
"EIPX","FT Energy Income Partners Strategy ETF","23.22","New York Stock Exchange Arca","AMEX","etf",
"298340.KS","Hanwha Investment Trust Management - Arirang KTB 3 Year Futures ETF","54615","KSE","KSC","etf",
"ZIC.TO","BMO Mid-Term US IG Corporate Bond Index ETF","17.45","Toronto Stock Exchange","TSX","etf",
"XDWL.DE","Xtrackers (IE) Plc - Xtrackers MSCI World UCITS ETF 1D","86.398","Frankfurt Stock Exchange","XETRA","etf",
"MINO","PIMCO Municipal Income Opportunities Active Exchange-Traded Fund","45.1438","New York Stock Exchange Arca","AMEX","etf",
"SSHE.L","Leverage Shares -1x Short Shopify ETP","3.213","London Stock Exchange","LSE","etf",
"IEAU.AS","iShares Core  Corp Bond UCITS E","5.439","Amsterdam","EURONEXT","etf",
"IUIS.L","iShares V Public Limited Company - iShares S&P 500 Industrials Sector UCITS ETF","10.09","London Stock Exchange","LSE","etf",
"AUCO.MI","L&G Gold Mining UCITS ETF","33.66","Milan","MIL","etf",
"SC04.DE","Invesco STOXX Europe 600 Optimised Personal & Household Goods UCITS ETF","711.7","Frankfurt Stock Exchange","XETRA","etf",
"AW10.F","UBS (Irl) ETF plc - MSCI World Climate Paris Aligned UCITS ETF","14.212","Frankfurt Stock Exchange","XETRA","etf",
"HBND.TO","Hamilton U.S. Bond Yield Maximizer ETF","14.91","Toronto Stock Exchange","TSX","etf",
"VBG.TO","Vanguard Global ex-U.S. Aggregate Bond Index ETF (CAD-hedged)","23.27","Toronto Stock Exchange","TSX","etf",
"USIC.L","Lyxor Index Fund - Lyxor ESG USD Corporate Bond (DR) UCITS ETF","9.172","London Stock Exchange","LSE","etf",
"3RAC.L","Leverage Shares 3x Long Ferrari (RACE) ETP Securities","3645.05","London Stock Exchange","LSE","etf",
"XDJP.DE","Xtrackers Nikkei 225 UCITS ETF 1D","23.81","Frankfurt Stock Exchange","XETRA","etf",
"130680.KS","Mirae Asset TIGER WTI Futures ETF","4355","KSE","KSC","etf",
"IUST.DE","iShares $ TIPS UCITS ETF USD (Acc)","217.89","Frankfurt Stock Exchange","XETRA","etf",
"SROE.L","Leverage Shares -1x Short Roku ETC","8.3425","London Stock Exchange","LSE","etf",
"XSVM","Invesco S&P SmallCap Value with Momentum ETF","53.14","New York Stock Exchange Arca","AMEX","etf",
"EWV","ProShares UltraShort MSCI Japan","10.76","New York Stock Exchange Arca","AMEX","etf",
"ECTN.MI","WisdomTree Cotton - EUR Daily Hedged","9.4","Milan","MIL","etf",
"FLOT.L","iShares $ Floating Rate Bond UCITS ETF","5.034","London Stock Exchange","LSE","etf",
"STXV","Strive 1000 Value ETF","28.34","NASDAQ Global Market","NASDAQ","etf",
"ESIE.DE","iShares MSCI Europe Energy Sector UCITS ETF","10.964","Frankfurt Stock Exchange","XETRA","etf",
"DBXS.DE","Xtrackers Switzerland UCITS ETF","131.02","Frankfurt Stock Exchange","XETRA","etf",
"OIGS.DE","Lyxor Index Fund - Lyxor Stoxx Europe 600 Oil & Gas UCITS ETF","83.38","Frankfurt Stock Exchange","XETRA","etf",
"18M4.DE","Amundi ETF MSCI Europe Consumer Discretionary UCITS ETF","174.42","Frankfurt Stock Exchange","XETRA","etf",
"USOD","United States 3x Short Oil Fund","6.15","New York Stock Exchange Arca","AMEX","etf",
"GGLL","Direxion Daily GOOGL Bull 1.5X Shares","43.88","NASDAQ Global Market","NASDAQ","etf",
"XMUS.L","Xtrackers MSCI USA Swap UCITS ETF","12278.78","London Stock Exchange","LSE","etf",
"INR.DE","Lyxor MSCI India UCITS ETF Acc EUR","1.9945","Frankfurt Stock Exchange","XETRA","etf",
"XMAF.L","Xtrackers MSCI Africa Top 50 Swap UCITS ETF","6.52","London Stock Exchange","LSE","etf",
"SDWD.L","iShares MSCI World ESG Screened UCITS ETF","8.687","London Stock Exchange","LSE","etf",
"SIZE","iShares MSCI USA Size Factor ETF","137.22","New York Stock Exchange Arca","AMEX","etf",
"CASE.L","L&GE Fund MSCI China A UCITS ETF","1089","London Stock Exchange","LSE","etf",
"HEJ.TO","Horizons NASDAQ-100 Covered Call ETF","4.97","Toronto Stock Exchange","TSX","etf",
"6PSC.DE","Invesco FTSE RAFI Europe UCITS ETF","12.196","Frankfurt Stock Exchange","XETRA","etf",
"HOTL","Kelly Hotel & Lodging Sector ETF","14.6188","New York Stock Exchange Arca","AMEX","etf",
"IWP","iShares Russell Mid-Cap Growth ETF","108.57","New York Stock Exchange Arca","AMEX","etf",
"IDX","VanEck Indonesia Index ETF","15.48","New York Stock Exchange Arca","AMEX","etf",
"TRXS.L","Invesco US Treasury Bond 7-10 Year UCITS ETF GBP Hedged Dist","3343.203","London Stock Exchange","LSE","etf",
"SAEU.L","Ishares Iv Public Limited Company - Ishares Msci Europe ESG Screened Ucits Etf","7.212","London Stock Exchange","LSE","etf",
"GDGB.L","VanEck Gold Miners UCITS ETF","29.49","London Stock Exchange","LSE","etf",
"EDV","Vanguard Extended Duration Treasury Index Fund","73.03","New York Stock Exchange Arca","AMEX","etf",
"EMSA.MI","iShares J.P. Morgan ESG $ EM Bond UCITS ETF","4.9485","Milan","MIL","etf",
"LGRO","ALPS ETF Trust - Level Four Large Cap Growth Active ETF","30.3632","NASDAQ Global Market","NASDAQ","etf",
"JNKE.L","SPDR Bloomberg Euro High Yield Bond UCITS ETF","51.7","London Stock Exchange","LSE","etf",
"EMDH.L","L&G ESG Emerging Markets Corporate Bond (USD) UCITS ETF","859.1","London Stock Exchange","LSE","etf",
"166400.KS","Mirae Asset TIGER200 Covered Call 5% OTM ETF - Equity - Derivatives","13485","KSE","KSC","etf",
"IXI.AX","iShares Global Consumer Staples ETF (AU)","93.2","Australian Securities Exchange","ASX","etf",
"EL4Y.DE","Deka STOXX Europe 50 UCITS ETF","46.295","Frankfurt Stock Exchange","XETRA","etf",
"FCMH.TO","Fidelity U.S. Momentum Currency Neutral Index ETF","12.52","Toronto Stock Exchange","TSX","etf",
"XLPS","** SEE<PSCC>","30.102","NASDAQ Global Market","NASDAQ","etf",
"FAHY.L","Invesco US High Yield Fallen Angels UCITS ETF","1676.5","London Stock Exchange","LSE","etf",
"PLUS.AX","VanEck Australian Corporate Bond Plus ETF","16.56","Australian Securities Exchange","ASX","etf",
"CI2G.L","Amundi Index Solutions - Amundi MSCI India","81220","London Stock Exchange","LSE","etf",
"2TWE.L","Leverage Shares 2x Twitter ETC","21.4081","London Stock Exchange","LSE","etf",
"BDCZ","UBS ETRACS Wells Fargo Business Development Company Index ETN","19.865","New York Stock Exchange Arca","AMEX","etf",
"JE13.SW","JPMorgan ETFs (Ireland) ICAV - BetaBuilders EUR Govt Bond 1-3 yr UCITS ETF","97.5","Swiss Exchange","SIX","etf",
"GLTA.L","Invesco UK Gilts UCITS ETF","3103.256","London Stock Exchange","LSE","etf",
"CC1G.L","Amundi Index Solutions - Amundi MSCI China","22867.5","London Stock Exchange","LSE","etf",
"BCIM","abrdn ETFs - abrdn Bloomberg Industrial Metals Strategy K-1 Free ETF","23.675","New York Stock Exchange Arca","AMEX","etf",
"ICICISENSX.NS","ICICI Prudential S&P BSE Sensex ETF","795.7","National Stock Exchange of India","NSE","etf",
"OSX4.DE","Ossiam Europe ESG Machine Learning","245.3","Frankfurt Stock Exchange","XETRA","etf",
"OPTZ","Optimize Strategy Index ETF","26.66","NASDAQ Global Market","NASDAQ","etf",
"VUSC.L","Vanguard USD Corporate 1-3 year Bond UCITS ETF","38.3167","London Stock Exchange","LSE","etf",
"EL4V.DE","Deka Deutsche Börse EUROGOV Germany 10+ UCITS ETF","106.84","Frankfurt Stock Exchange","XETRA","etf",
"IUCD.L","iShares V Public Limited Company - iShares S&P 500 Consumer Discretionary Sector UCITS ETF","12.22","London Stock Exchange","LSE","etf",
"CLOA","BlackRock ETF Trust II - BlackRock AAA CLO ETF","51.77","NASDAQ Global Market","NASDAQ","etf",
"SLYV","SPDR S&P 600 Small Cap Value ETF","79.09","New York Stock Exchange Arca","AMEX","etf",
"INMG.L","UBS AG","90.09","London Stock Exchange","LSE","etf",
"UTINIFTETF.BO","UTI Nifty ETF","251.75","Bombay Stock Exchange","BSE","etf",
"VZA","Verizon Communications, 5.9% 15 Feb 2054","25.55","New York Stock Exchange","NYSE","etf",
"CN1.L","Amundi Index Solutions - Amundi MSCI Nordic","47397.5","London Stock Exchange","LSE","etf",
"OYLD","Invesco Russell 1000 Yield Factor ETF","27.455","BATS","ETF","etf",
"XRH0.L","db Physical Rhodium ETC","551.5","London Stock Exchange","LSE","etf",
"3LTO.PA","GraniteShares 3x Long TotalEner","17.4","Paris","EURONEXT","etf",
"3145.HK","ChinaAMC Asia High Dividend ETF","11.07","HKSE","HKSE","etf",
"FLOT.MI","MULTI UNITS LUXEMBOURG–Lyxor Euro Floating Rate Note UCITS ETF","101.64","Milan","MIL","etf",
"BULP.L","WisdomTree Gold","1914","London Stock Exchange","LSE","etf",
"XG7S.L","Xtrackers II Global Government Bond UCITS ETF","18530","London Stock Exchange","LSE","etf",
"XUHY.DE","Xtrackers (IE) Plc - Xtrackers USD High Yield Corporate Bond UCITS ETF 1D","11.59","Frankfurt Stock Exchange","XETRA","etf",
"3SUD.F","iShares J.P. Morgan $ EM Bond UCITS ETF","4.3144","Frankfurt Stock Exchange","XETRA","etf",
"ZFN.TO","BMO SIA Focused North American Equity Fund","49.64","Toronto Stock Exchange","TSX","etf",
"VHYL.PA","VN HG DV ETF USD ","42.96","Paris","EURONEXT","etf",
"IUME.AS","iShares MSCI USA Momentum Factor ESG UCITS ETF","5.8519","Amsterdam","EURONEXT","etf",
"IGEA.SW","iShares Emerging Asia Local Govt Bond UCITS ETF USD (Dist)","74.328","Swiss Exchange","SIX","etf",
"ECNS","iShares MSCI China Small-Cap ETF","25.38","New York Stock Exchange Arca","AMEX","etf",
"GBIL","Goldman Sachs Access Treasury 0-1 Year ETF","99.78","New York Stock Exchange Arca","AMEX","etf",
"FBND","Fidelity Total Bond ETF","44.86","New York Stock Exchange Arca","AMEX","etf",
"FGOV.L","First Trust Low Duration Global Government Bond UCITS ETF","1425.5","London Stock Exchange","LSE","etf",
"ECH3.MI","WisdomTree Long CHF Short EUR 3x Daily","59.22","Milan","MIL","etf",
"DE000A28M8D0.AS","VanEck Bitcoin ETN","13.386","Amsterdam","EURONEXT","etf",
"HPF.TO","Harvest Energy Leaders Plus Income ETF","3.42","Toronto Stock Exchange","TSX","etf",
"ZIG","The Acquirers Fund ETF","36.75","New York Stock Exchange Arca","AMEX","etf",
"COMT","iShares GSCI Commodity Dynamic Roll Strategy ETF","26.5","NASDAQ Global Market","NASDAQ","etf",
