symbol,name,price,exchange,exchangeShortName,type
"ECRP3.PA","Amundi Index Solutions - Amundi Index Euro Corporate Sri 0-3 Y UCITS ETF DR","50.726","Paris","BRU","etf",
"LS.TO","Middlefield Healthcare Dividend ETF","10.94","Toronto Stock Exchange","TSX","etf",
"IVLU","iShares Edge MSCI Intl Value Factor ETF","28.76","New York Stock Exchange Arca","AMEX","etf",
"TFLR","T. Rowe Price Floating Rate ETF","51.77","New York Stock Exchange Arca","AMEX","etf",
"FXCH","Invesco CurrencyShares Chinese Renminbi Trust","69.6913","New York Stock Exchange Arca","AMEX","etf",
"CANE","Teucrium Sugar Fund","11.52","New York Stock Exchange Arca","AMEX","etf",
"LMVF.DE","Lyxor Core MSCI EMU (DR) UCITS ETF","64.17","Frankfurt Stock Exchange","XETRA","etf",
"SZO","DB Crude Oil Short ETN","55.69","New York Stock Exchange Arca","AMEX","etf",
"BGRO","BlackRock Large Cap Growth ETF","30.6125","Nasdaq","NASDAQ","etf",
"SBT.TO","Silver Bullion Trust ETF Currency Hedged","15.9","Toronto Stock Exchange","TSX","etf",
"IHYU.L","iShares $ High Yield Corp Bond UCITS ETF USD (Dist)","91.29","London Stock Exchange","LSE","etf",
"STAW.MI","Lyxor MSCI World Consumer Staples TR UCITS ETF - C-EUR","10.582","Milan","MIL","etf",
"METD","Direxion Daily META Bear 1X Shares","24.1843","Nasdaq","NASDAQ","etf",
"METU","Direxion Daily META Bull 2X Shares","26.6385","Nasdaq","NASDAQ","etf",
"DESK","VanEck ETF Trust","34.88","New York Stock Exchange Arca","AMEX","etf",
"UC86.L","UBS(Lux)Fund Solutions – Bloomberg Barclays US Liquid Corporates 1-5 Year UCITS ETF(USD)A-dis","13.765","London Stock Exchange","LSE","etf",
"EMAU.L","L&G ESG Emerging Markets Corporate Bond (USD) UCITS ETF","9.7605","London Stock Exchange","LSE","etf",
"RSSL","Global X Funds","79.07","New York Stock Exchange Arca","AMEX","etf",
"JKE","iShares Morningstar Growth ETF","283.806","New York Stock Exchange Arca","AMEX","etf",
"FIHD","UBS AG FI Enhanced Global High Yield ETN","224.515","New York Stock Exchange Arca","AMEX","etf",
"TSWE.AS","VanEck Sustainable World Equal Weight UCITS ETF","31.61","Amsterdam","EURONEXT","etf",
"CHIE","Global X MSCI China Energy ETF","16.39","New York Stock Exchange Arca","AMEX","etf",
"HSUD.MI","HSBC USA Sustainable Equity UCITS ETF","25.655","Milan","MIL","etf",
"ACWL.L","Lyxor MSCI All Country World UCITS ETF USD Acc","26375","London Stock Exchange","LSE","etf",
"BCHS.L","Invesco Markets II PLC - Invesco Elwood Global Blockchain Ucits ETF","7248","London Stock Exchange","LSE","etf",
"JVAL","JPMorgan U.S. Value Factor ETF","40.56","New York Stock Exchange Arca","AMEX","etf",
"AGMI","Themes Silver Miners ETF","25.8256","Nasdaq","NASDAQ","etf",
"DXSQ.DE","Xtrackers II iTraxx Europe Swap UCITS ETF","119.705","Frankfurt Stock Exchange","XETRA","etf",
"IPOL.L","iShares V PLC - iShares MSCI Poland UCITS ETF","20.725","London Stock Exchange","LSE","etf",
"BBCK.DE","Invesco Global Buyback Achievers UCITS ETF","47.625","Frankfurt Stock Exchange","XETRA","etf",
"LQDI","iShares Inflation Hedged Corporate Bond ETF","25.85","BATS","ETF","etf",
"BBIL.L","JPM BetaBuilders US Treasury Bond 0-1 yr UCITS ETF","110.205","London Stock Exchange","LSE","etf",
"AT1P.L","Invesco Markets II Plc - Invesco AT 1 Capital Bond UCITS ETF","1978.6","London Stock Exchange","LSE","etf",
"COIB.AS","LS 1x Coinbase Tracker ETC","5.2","Amsterdam","EURONEXT","etf",
"JE3S.L","LEVERAGE SHARES PUBLIC LIMITED ","1.54955","London Stock Exchange","LSE","etf",
"FLJH","Franklin FTSE Japan Hedged ETF","31.67","New York Stock Exchange Arca","AMEX","etf",
"SHOS.L","Leverage Shares -1x Short Shopify ETP","3.4535","London Stock Exchange","LSE","etf",
"VUSB","Vanguard Ultra-Short Bond ETF","49.35","BATS","ETF","etf",
"SARK","AXS Short Innovation Daily ETF","30.58","NASDAQ Global Market","NASDAQ","etf",
"SJPA.L","iShares Core MSCI Japan IMI UCITS ETF USD (Acc)","4259","London Stock Exchange","LSE","etf",
"5BTS.MI","WisdomTree BTP 10Y 5x Daily Short","12.378","Milan","MIL","etf",
"CITS.L","Leverage Shares -1x Short Citigroup ETP","6.65","London Stock Exchange","LSE","etf",
"YLDE","ClearBridge Dividend Strategy ESG ETF","46.801","NASDAQ Global Market","NASDAQ","etf",
"SCHR","Schwab Intermediate-Term U.S. Treasury ETF","48.4","New York Stock Exchange Arca","AMEX","etf",
"PGRO","Putnam Focused Large Cap Growth ETF","34.185","New York Stock Exchange Arca","AMEX","etf",
"DIRT","iPath® Pure Beta Agriculture ETN","30.9099","New York Stock Exchange Arca","AMEX","etf",
"JPTC.L","JPMorgan ETFs (Ireland) ICAV - Carbon Transition Global Equity UCITS ETF","3033.835","London Stock Exchange","LSE","etf",
"FCIV.TO","Fidelity International Value Index ETF","35.59","Toronto Stock Exchange","TSX","etf",
"FLIY","Franklin FTSE Italy ETF","24.8851","New York Stock Exchange Arca","AMEX","etf",
"IHHG.L","iShares $ High Yield Corp Bond UCITS ETF GBP Hedged (Dist)","4.14304","London Stock Exchange","LSE","etf",
"GSP","iPath S&P GSCI Total Return Index ETN","19.655","New York Stock Exchange Arca","AMEX","etf",
"PUTD","Cboe(R) Validus S&P 500(R) Dynamic Putwrite Index ETF","22.743","Cboe US","ETF","etf",
"EFZ","ProShares Short MSCI EAFE","16.245","New York Stock Exchange Arca","AMEX","etf",
"FCAM.NE","Fidelity All-American Equity ETF","11.46","Cboe CA","NEO","etf",
"CRTC","Dbx Etf Trust - Xtrackers Us National Critical Technologies ETF","29.85","New York Stock Exchange Arca","AMEX","etf",
"IWRD.L","iShares MSCI World UCITS ETF","5826.878","London Stock Exchange","LSE","etf",
"225130.KS","KINDEX Gold Futures Leverage ETF","19955","KSE","KSC","etf",
"ETLX.DE","L&G Gold Mining UCITS ETF","33.53","Frankfurt Stock Exchange","XETRA","etf",
"AFSM","First Trust Active Factor Small Cap ETF","28.3287","New York Stock Exchange Arca","AMEX","etf",
"F500.DE","Amundi Index Solutions - Amundi S&P 500 ESG UCITS ETF DR-C","143.38","Frankfurt Stock Exchange","XETRA","etf",
"QRFT","QRAFT AI-Enhanced U.S. Large Cap ETF","49.9861","New York Stock Exchange Arca","AMEX","etf",
"NVDY","Tidal ETF Trust II YieldMax NVD","28.82","New York Stock Exchange Arca","AMEX","etf",
"7322.HK","Global X S&P 500 Daily (-1x) Inverse Product","6.6","HKSE","HKSE","etf",
"IBHH","iShares iBonds 2028 Term High Yield and Income ETF","23.03","BATS","ETF","etf",
"RWW","Invesco S&P Financials Revenue ETF","71.0028","New York Stock Exchange Arca","AMEX","etf",
"HEMV","iShares Edge MSCI Min Vol EM Ccy Hdg ETF","26.76","BATS","ETF","etf",
"S5SD.DE","UBS (Irl) ETF plc - S&P 500 ESG UCITS ETF","34.175","Frankfurt Stock Exchange","XETRA","etf",
"TAFI","Ab Tax-Aware Short Duration ETF","24.92","New York Stock Exchange Arca","AMEX","etf",
"SYBU.DE","SPDR Bloomberg U.S. Aggregate Bond UCITS ETF","87.108","Frankfurt Stock Exchange","XETRA","etf",
