Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-07-01 00:00:00-04:00,423.75,423.75,356.5,357.0,1093305,0.0,0.0
2014-08-01 00:00:00-04:00,357.0,370.0,347.75,359.0,1960233,0.0,0.0
2014-09-01 00:00:00-04:00,357.5,360.5,319.5,320.75,1544979,0.0,0.0
2014-10-01 00:00:00-04:00,320.25,381.0,318.25,376.75,3800963,0.0,0.0
2014-11-01 00:00:00-04:00,374.5,389.0,359.0,375.75,3705708,0.0,0.0
2014-12-01 00:00:00-05:00,374.0,417.0,364.25,397.0,1574691,0.0,0.0
2015-01-01 00:00:00-05:00,396.25,409.5,365.75,370.0,3190538,0.0,0.0
2015-04-01 00:00:00-04:00,377.0,390.0,359.0,362.5,3190248,0.0,0.0
2015-05-01 00:00:00-04:00,362.5,371.5,348.25,351.5,1860791,0.0,0.0
2015-06-01 00:00:00-04:00,350.5,415.0,346.75,414.0,4330105,0.0,0.0
2015-07-01 00:00:00-04:00,411.0,438.75,365.75,371.0,1725361,0.0,0.0
2015-08-01 00:00:00-04:00,370.0,391.5,346.5,363.75,2473197,0.0,0.0
2015-09-01 00:00:00-04:00,362.5,395.0,346.75,387.75,1903215,0.0,0.0
2015-10-01 00:00:00-04:00,387.75,399.75,372.0,382.25,3498237,0.0,0.0
2015-12-01 00:00:00-05:00,365.25,381.75,357.0,358.75,1698238,0.0,0.0
2016-01-01 00:00:00-05:00,359.5,372.5,348.5,372.0,3567210,0.0,0.0
2016-02-01 00:00:00-05:00,371.0,373.75,352.5,353.5,3579814,0.0,0.0
2016-03-01 00:00:00-05:00,353.5,374.0,347.5,351.5,2264680,0.0,0.0
2016-04-01 00:00:00-04:00,351.75,402.0,347.25,390.25,4425796,0.0,0.0
2016-06-01 00:00:00-04:00,404.25,439.25,355.75,358.75,4551294,0.0,0.0
2016-07-01 00:00:00-04:00,360.75,374.5,326.75,334.5,1174157,0.0,0.0
2016-08-01 00:00:00-04:00,332.25,334.75,301.0,301.5,2343872,0.0,0.0
2016-09-01 00:00:00-04:00,302.0,342.25,301.75,336.75,1885768,0.0,0.0
2016-10-01 00:00:00-04:00,336.25,359.25,335.25,354.75,3551539,0.0,0.0
2016-11-01 00:00:00-04:00,354.75,356.5,335.5,336.75,4101738,0.0,0.0
2016-12-01 00:00:00-05:00,337.0,363.0,331.0,352.0,1310473,0.0,0.0
